loc_x,loc_y,cross_end_loc_x,cross_end_loc_y,pass_length,pass_height,freeze_frame,outcome,cross_origin,cross_dest,zone_pressure,zone_support,cross_pressure,cross_height
112.193306,55.16612,108.1,50.0,9.420191,Ground Pass,"[{'location': [83.36067, 38.293743], 'player': {'name': 'Daniel Olmo Carvajal'}, 'position': {'name': 'Left Wing'}, 'teammate': True}, {'location': [91.588524, 45.29086], 'player': {'name': 'Daniel Olmo Carvajal'}, 'position': {'name': 'Left Wing'}, 'teammate': True}, {'location': [95.87941, 42.860203], 'player': {'name': 'Daniel Olmo Carvajal'}, 'position': {'name': 'Left Wing'}, 'teammate': False}, {'location': [99.953125, 24.51959], 'player': {'name': 'Daniel Olmo Carvajal'}, 'position': {'name': 'Left Wing'}, 'teammate': True}, {'location': [101.67977, 38.112247], 'player': {'name': 'Daniel Olmo Carvajal'}, 'position': {'name': 'Left Wing'}, 'teammate': True}, {'location': [104.126915, 68.07471], 'player': {'name': 'Daniel Olmo Carvajal'}, 'position': {'name': 'Left Wing'}, 'teammate': True}, {'location': [106.63113, 68.71351], 'player': {'name': 'Daniel Olmo Carvajal'}, 'position': {'name': 'Left Wing'}, 'teammate': False}, {'location': [106.66017, 37.11573], 'player': {'name': 'Daniel Olmo Carvajal'}, 'position': {'name': 'Left Wing'}, 'teammate': False}, {'location': [106.87555, 52.0151], 'player': {'name': 'Daniel Olmo Carvajal'}, 'position': {'name': 'Left Wing'}, 'teammate': True}, {'location': [107.55462, 56.96351], 'player': {'name': 'Daniel Olmo Carvajal'}, 'position': {'name': 'Left Wing'}, 'teammate': False}, {'location': [110.73939, 72.20616], 'player': {'name': 'Daniel Olmo Carvajal'}, 'position': {'name': 'Left Wing'}, 'teammate': True}, {'location': [111.14984, 35.399628], 'player': {'name': 'Daniel Olmo Carvajal'}, 'position': {'name': 'Left Wing'}, 'teammate': False}, {'location': [111.61937, 42.10401], 'player': {'name': 'Daniel Olmo Carvajal'}, 'position': {'name': 'Left Wing'}, 'teammate': True}, {'location': [112.26422, 41.702374], 'player': {'name': 'Daniel Olmo Carvajal'}, 'position': {'name': 'Left Wing'}, 'teammate': False}, {'location': [112.88202, 53.259254], 'player': {'name': 'Daniel Olmo Carvajal'}, 'position': {'name': 'Left Wing'}, 'teammate': False}, {'location': [112.899994, 45.801937], 'player': {'name': 'Daniel Olmo Carvajal'}, 'position': {'name': 'Left Wing'}, 'teammate': False}, {'location': [112.93725, 59.684277], 'player': {'name': 'Daniel Olmo Carvajal'}, 'position': {'name': 'Left Wing'}, 'teammate': False}, {'location': [118.42226, 42.132397], 'player': {'name': 'Daniel Olmo Carvajal'}, 'position': {'name': 'Left Wing'}, 'teammate': False}]",1,2,2,3,1,1,1
108.263115,70.657326,116.5,42.6,31.088583,Low Pass,"[{'location': [79.16543, 22.82044], 'player': {'name': 'Martin Koscelník'}, 'position': {'name': 'Right Wing'}, 'teammate': True}, {'location': [82.366684, 39.9138], 'player': {'name': 'Martin Koscelník'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [90.32432, 35.309513], 'player': {'name': 'Martin Koscelník'}, 'position': {'name': 'Right Wing'}, 'teammate': True}, {'location': [98.22166, 32.15063], 'player': {'name': 'Martin Koscelník'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [98.56084, 53.263775], 'player': {'name': 'Martin Koscelník'}, 'position': {'name': 'Right Wing'}, 'teammate': True}, {'location': [99.27866, 39.97152], 'player': {'name': 'Martin Koscelník'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [99.9157, 56.62875], 'player': {'name': 'Martin Koscelník'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [102.06556, 49.19414], 'player': {'name': 'Martin Koscelník'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [103.55123, 39.38709], 'player': {'name': 'Martin Koscelník'}, 'position': {'name': 'Right Wing'}, 'teammate': True}, {'location': [104.071266, 29.19695], 'player': {'name': 'Martin Koscelník'}, 'position': {'name': 'Right Wing'}, 'teammate': True}, {'location': [105.42577, 59.42814], 'player': {'name': 'Martin Koscelník'}, 'position': {'name': 'Right Wing'}, 'teammate': True}, {'location': [106.33341, 57.40966], 'player': {'name': 'Martin Koscelník'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [107.044945, 38.108154], 'player': {'name': 'Martin Koscelník'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [107.50832, 32.303802], 'player': {'name': 'Martin Koscelník'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [109.960365, 69.79453], 'player': {'name': 'Martin Koscelník'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [110.63437, 45.192623], 'player': {'name': 'Martin Koscelník'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [116.98319, 42.043972], 'player': {'name': 'Martin Koscelník'}, 'position': {'name': 'Right Wing'}, 'teammate': False}]",0,0,3,5,1,1,2
101.91199,16.75017,108.3,43.6,31.408598,Ground Pass,"[{'location': [83.871124, 48.336933], 'player': {'name': 'Lorenzo Insigne'}, 'position': {'name': 'Left Wing'}, 'teammate': True}, {'location': [90.72622, 22.388348], 'player': {'name': 'Lorenzo Insigne'}, 'position': {'name': 'Left Wing'}, 'teammate': True}, {'location': [92.40482, 47.315403], 'player': {'name': 'Lorenzo Insigne'}, 'position': {'name': 'Left Wing'}, 'teammate': False}, {'location': [93.26743, 34.27891], 'player': {'name': 'Lorenzo Insigne'}, 'position': {'name': 'Left Wing'}, 'teammate': False}, {'location': [99.13102, 19.132309], 'player': {'name': 'Lorenzo Insigne'}, 'position': {'name': 'Left Wing'}, 'teammate': False}, {'location': [105.75232, 17.64264], 'player': {'name': 'Lorenzo Insigne'}, 'position': {'name': 'Left Wing'}, 'teammate': False}, {'location': [106.88537, 45.085102], 'player': {'name': 'Lorenzo Insigne'}, 'position': {'name': 'Left Wing'}, 'teammate': True}, {'location': [106.96815, 40.81961], 'player': {'name': 'Lorenzo Insigne'}, 'position': {'name': 'Left Wing'}, 'teammate': True}, {'location': [107.64759, 19.09696], 'player': {'name': 'Lorenzo Insigne'}, 'position': {'name': 'Left Wing'}, 'teammate': False}, {'location': [108.21564, 26.862127], 'player': {'name': 'Lorenzo Insigne'}, 'position': {'name': 'Left Wing'}, 'teammate': False}, {'location': [108.5123, 31.991154], 'player': {'name': 'Lorenzo Insigne'}, 'position': {'name': 'Left Wing'}, 'teammate': False}, {'location': [108.789, 34.88463], 'player': {'name': 'Lorenzo Insigne'}, 'position': {'name': 'Left Wing'}, 'teammate': True}, {'location': [109.239395, 10.591045], 'player': {'name': 'Lorenzo Insigne'}, 'position': {'name': 'Left Wing'}, 'teammate': True}, {'location': [109.57632, 38.098667], 'player': {'name': 'Lorenzo Insigne'}, 'position': {'name': 'Left Wing'}, 'teammate': False}, {'location': [109.95938, 44.02981], 'player': {'name': 'Lorenzo Insigne'}, 'position': {'name': 'Left Wing'}, 'teammate': False}]",0,1,3,3,3,0,1
114.27373,56.048923,115.6,43.2,14.6219015,Ground Pass,"[{'location': [98.130135, 55.73736], 'player': {'name': 'Pablo Sarabia García'}, 'position': {'name': 'Right Wing'}, 'teammate': True}, {'location': [98.957886, 59.587563], 'player': {'name': 'Pablo Sarabia García'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [103.89943, 75.115326], 'player': {'name': 'Pablo Sarabia García'}, 'position': {'name': 'Right Wing'}, 'teammate': True}, {'location': [105.460144, 66.87961], 'player': {'name': 'Pablo Sarabia García'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [106.41987, 33.064217], 'player': {'name': 'Pablo Sarabia García'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [107.2629, 46.34875], 'player': {'name': 'Pablo Sarabia García'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [108.51461, 39.459114], 'player': {'name': 'Pablo Sarabia García'}, 'position': {'name': 'Right Wing'}, 'teammate': True}, {'location': [110.471, 55.37203], 'player': {'name': 'Pablo Sarabia García'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [111.40555, 42.1626], 'player': {'name': 'Pablo Sarabia García'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [112.327324, 41.87179], 'player': {'name': 'Pablo Sarabia García'}, 'position': {'name': 'Right Wing'}, 'teammate': True}, {'location': [112.709885, 36.957417], 'player': {'name': 'Pablo Sarabia García'}, 'position': {'name': 'Right Wing'}, 'teammate': True}, {'location': [114.09728, 44.999866], 'player': {'name': 'Pablo Sarabia García'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [114.24589, 41.925552], 'player': {'name': 'Pablo Sarabia García'}, 'position': {'name': 'Right Wing'}, 'teammate': True}, {'location': [114.88784, 52.371437], 'player': {'name': 'Pablo Sarabia García'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [115.12838, 33.954266], 'player': {'name': 'Pablo Sarabia García'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [115.99484, 38.3307], 'player': {'name': 'Pablo Sarabia García'}, 'position': {'name': 'Right Wing'}, 'teammate': False}, {'location': [118.86936, 43.832], 'player': {'name': 'Pablo Sarabia García'}, 'position': {'name': 'Right Wing'}, 'teammate': False}]",1,2,3,7,4,0,1
85.53807,3.5099,103.5,41.9,40.9518,High Pass,"[{'location': [82.79699, 13.71716], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [90.4617, 33.74536], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [92.809265, 9.59294], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [94.4694, 19.154156], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.90881, 34.22983], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [101.887146, 41.931015], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.92603, 37.293682], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.47035, 48.31368], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [102.65553, 49.342716], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [102.99385, 34.352604], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [103.333534, 48.602345], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.30544, 46.465157], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.3365, 41.081364], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.39936, 44.971333], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [104.6069, 33.43685], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.94846, 37.445076], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.18894, 47.842335], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.291664, 52.775826], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.85839, 39.445896], 'player': {'name': 'Robin Lod'}, 'position': {'name': 'Right Center Midfield'}, 'teammate': False}]",0,1,3,6,5,0,0
118.95271,55.85468,116.7,39.9,16.249615,Low Pass,"[{'location': [104.73997, 51.38448], 'player': {'name': 'Serge Gnabry'}, 'position': {'name': 'Center Forward'}, 'teammate': False}, {'location': [106.74905, 59.467823], 'player': {'name': 'Serge Gnabry'}, 'position': {'name': 'Center Forward'}, 'teammate': False}, {'location': [108.522644, 47.8313], 'player': {'name': 'Serge Gnabry'}, 'position': {'name': 'Center Forward'}, 'teammate': True}, {'location': [109.59012, 59.307884], 'player': {'name': 'Serge Gnabry'}, 'position': {'name': 'Center Forward'}, 'teammate': True}, {'location': [112.56468, 34.24317], 'player': {'name': 'Serge Gnabry'}, 'position': {'name': 'Center Forward'}, 'teammate': False}, {'location': [113.21573, 36.016964], 'player': {'name': 'Serge Gnabry'}, 'position': {'name': 'Center Forward'}, 'teammate': True}, {'location': [113.85085, 53.333267], 'player': {'name': 'Serge Gnabry'}, 'position': {'name': 'Center Forward'}, 'teammate': False}, {'location': [113.93517, 36.594124], 'player': {'name': 'Serge Gnabry'}, 'position': {'name': 'Center Forward'}, 'teammate': False}, {'location': [114.156876, 45.831142], 'player': {'name': 'Serge Gnabry'}, 'position': {'name': 'Center Forward'}, 'teammate': False}, {'location': [115.20621, 48.4524], 'player': {'name': 'Serge Gnabry'}, 'position': {'name': 'Center Forward'}, 'teammate': False}, {'location': [116.23274, 38.291927], 'player': {'name': 'Serge Gnabry'}, 'position': {'name': 'Center Forward'}, 'teammate': True}, {'location': [118.81059, 44.153156], 'player': {'name': 'Serge Gnabry'}, 'position': {'name': 'Center Forward'}, 'teammate': False}, {'location': [119.28225, 54.464333], 'player': {'name': 'Serge Gnabry'}, 'position': {'name': 'Center Forward'}, 'teammate': False}]",0,2,3,5,3,1,2
100.63496,2.09228,120.0,70.4,69.641655,High Pass,"[{'location': [95.18901, 35.084812], 'player': {'name': 'Piotr Zieliński'}, 'position': {'name': 'Left Center Forward'}, 'teammate': True}, {'location': [102.92036, 6.48448], 'player': {'name': 'Piotr Zieliński'}, 'position': {'name': 'Left Center Forward'}, 'teammate': False}, {'location': [103.765816, 47.79055], 'player': {'name': 'Piotr Zieliński'}, 'position': {'name': 'Left Center Forward'}, 'teammate': True}, {'location': [104.71105, 29.978962], 'player': {'name': 'Piotr Zieliński'}, 'position': {'name': 'Left Center Forward'}, 'teammate': False}, {'location': [105.65064, 7.27488], 'player': {'name': 'Piotr Zieliński'}, 'position': {'name': 'Left Center Forward'}, 'teammate': True}, {'location': [105.91411, 21.15052], 'player': {'name': 'Piotr Zieliński'}, 'position': {'name': 'Left Center Forward'}, 'teammate': False}, {'location': [107.327866, 27.219673], 'player': {'name': 'Piotr Zieliński'}, 'position': {'name': 'Left Center Forward'}, 'teammate': True}, {'location': [107.71322, 44.310337], 'player': {'name': 'Piotr Zieliński'}, 'position': {'name': 'Left Center Forward'}, 'teammate': True}, {'location': [108.92106, 45.47673], 'player': {'name': 'Piotr Zieliński'}, 'position': {'name': 'Left Center Forward'}, 'teammate': False}, {'location': [109.13495, 33.918163], 'player': {'name': 'Piotr Zieliński'}, 'position': {'name': 'Left Center Forward'}, 'teammate': True}, {'location': [109.42204, 41.369446], 'player': {'name': 'Piotr Zieliński'}, 'position': {'name': 'Left Center Forward'}, 'teammate': False}, {'location': [109.460075, 42.500492], 'player': {'name': 'Piotr Zieliński'}, 'position': {'name': 'Left Center Forward'}, 'teammate': True}, {'location': [109.50894, 37.55199], 'player': {'name': 'Piotr Zieliński'}, 'position': {'name': 'Left Center Forward'}, 'teammate': True}, {'location': [109.88933, 48.39881], 'player': {'name': 'Piotr Zieliński'}, 'position': {'name': 'Left Center Forward'}, 'teammate': False}, {'location': [110.41449, 33.712585], 'player': {'name': 'Piotr Zieliński'}, 'position': {'name': 'Left Center Forward'}, 'teammate': False}, {'location': [111.30722, 37.087772], 'player': {'name': 'Piotr Zieliński'}, 'position': {'name': 'Left Center Forward'}, 'teammate': False}, {'location': [111.88105, 44.34319], 'player': {'name': 'Piotr Zieliński'}, 'position': {'name': 'Left Center Forward'}, 'teammate': False}, {'location': [116.57957, 38.383865], 'player': {'name': 'Piotr Zieliński'}, 'position': {'name': 'Left Center Forward'}, 'teammate': False}]",0,1,0,0,0,0,0
93.435875,75.799774,106.1,29.4,46.60826,High Pass,"[{'location': [78.96185, 76.45322], 'player': {'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'name': 'Right Center Back'}, 'teammate': True}, {'location': [81.18635, 58.81811], 'player': {'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'name': 'Right Center Back'}, 'teammate': False}, {'location': [87.98812, 43.61864], 'player': {'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'name': 'Right Center Back'}, 'teammate': False}, {'location': [88.43229, 70.97286], 'player': {'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.62347, 48.702038], 'player': {'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.69118, 22.607708], 'player': {'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'name': 'Right Center Back'}, 'teammate': True}, {'location': [96.59424, 72.323654], 'player': {'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.936066, 62.5937], 'player': {'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'name': 'Right Center Back'}, 'teammate': True}, {'location': [104.11194, 43.065357], 'player': {'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'name': 'Right Center Back'}, 'teammate': True}, {'location': [104.138176, 32.653847], 'player': {'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'name': 'Right Center Back'}, 'teammate': True}, {'location': [104.183846, 27.464127], 'player': {'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'name': 'Right Center Back'}, 'teammate': True}, {'location': [104.46557, 36.71219], 'player': {'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.52866, 31.5894], 'player': {'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.597626, 44.82141], 'player': {'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.18117, 41.848045], 'player': {'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'name': 'Right Center Back'}, 'teammate': False}]",0,0,4,0,1,0,0
91.87935,73.41063,115.8,48.0,35.943565,Low Pass,"[{'location': [81.783966, 59.90849], 'player': {'name': 'Giovanni Di Lorenzo'}, 'position': {'name': 'Right Back'}, 'teammate': True}, {'location': [82.3073, 49.69257], 'player': {'name': 'Giovanni Di Lorenzo'}, 'position': {'name': 'Right Back'}, 'teammate': True}, {'location': [83.163155, 19.107666], 'player': {'name': 'Giovanni Di Lorenzo'}, 'position': {'name': 'Right Back'}, 'teammate': True}, {'location': [87.10776, 33.49161], 'player': {'name': 'Giovanni Di Lorenzo'}, 'position': {'name': 'Right Back'}, 'teammate': False}, {'location': [88.44851, 45.48687], 'player': {'name': 'Giovanni Di Lorenzo'}, 'position': {'name': 'Right Back'}, 'teammate': False}, {'location': [91.638, 62.071266], 'player': {'name': 'Giovanni Di Lorenzo'}, 'position': {'name': 'Right Back'}, 'teammate': False}, {'location': [93.14672, 34.296085], 'player': {'name': 'Giovanni Di Lorenzo'}, 'position': {'name': 'Right Back'}, 'teammate': True}, {'location': [93.90716, 56.241787], 'player': {'name': 'Giovanni Di Lorenzo'}, 'position': {'name': 'Right Back'}, 'teammate': False}, {'location': [95.5831, 67.6471], 'player': {'name': 'Giovanni Di Lorenzo'}, 'position': {'name': 'Right Back'}, 'teammate': False}, {'location': [97.49134, 46.721092], 'player': {'name': 'Giovanni Di Lorenzo'}, 'position': {'name': 'Right Back'}, 'teammate': True}, {'location': [97.73849, 59.827797], 'player': {'name': 'Giovanni Di Lorenzo'}, 'position': {'name': 'Right Back'}, 'teammate': True}, {'location': [98.3028, 77.665474], 'player': {'name': 'Giovanni Di Lorenzo'}, 'position': {'name': 'Right Back'}, 'teammate': True}, {'location': [99.04108, 68.19548], 'player': {'name': 'Giovanni Di Lorenzo'}, 'position': {'name': 'Right Back'}, 'teammate': False}, {'location': [102.25351, 48.726223], 'player': {'name': 'Giovanni Di Lorenzo'}, 'position': {'name': 'Right Back'}, 'teammate': False}]",0,0,3,1,0,0,2
89.82924,69.13517,115.6,10.5,67.31671,High Pass,"[{'location': [88.21323, 40.396175], 'player': {'name': 'Mehmet Zeki Çelik'}, 'position': {'name': 'Right Back'}, 'teammate': True}, {'location': [92.86354, 62.38994], 'player': {'name': 'Mehmet Zeki Çelik'}, 'position': {'name': 'Right Back'}, 'teammate': False}, {'location': [92.94944, 47.72862], 'player': {'name': 'Mehmet Zeki Çelik'}, 'position': {'name': 'Right Back'}, 'teammate': False}, {'location': [95.206955, 34.53411], 'player': {'name': 'Mehmet Zeki Çelik'}, 'position': {'name': 'Right Back'}, 'teammate': False}, {'location': [98.60765, 55.33355], 'player': {'name': 'Mehmet Zeki Çelik'}, 'position': {'name': 'Right Back'}, 'teammate': True}, {'location': [99.193405, 39.03575], 'player': {'name': 'Mehmet Zeki Çelik'}, 'position': {'name': 'Right Back'}, 'teammate': False}, {'location': [99.22483, 27.978712], 'player': {'name': 'Mehmet Zeki Çelik'}, 'position': {'name': 'Right Back'}, 'teammate': False}, {'location': [100.521965, 55.81856], 'player': {'name': 'Mehmet Zeki Çelik'}, 'position': {'name': 'Right Back'}, 'teammate': False}, {'location': [101.21214, 36.35997], 'player': {'name': 'Mehmet Zeki Çelik'}, 'position': {'name': 'Right Back'}, 'teammate': True}, {'location': [102.96668, 43.889137], 'player': {'name': 'Mehmet Zeki Çelik'}, 'position': {'name': 'Right Back'}, 'teammate': False}, {'location': [116.03174, 41.198257], 'player': {'name': 'Mehmet Zeki Çelik'}, 'position': {'name': 'Right Back'}, 'teammate': False}]",0,0,1,0,0,0,0
